Symbol,Name,IPOyear,Sector,Industry
TXG,"10x Genomics, Inc.",2019,Capital Goods,Biotechnology: Laboratory Analytical Instruments
YI,"111, Inc.",2018,Health Care,Medical/Nursing Services
PIH,"1347 Property Insurance Holdings, Inc.",2014,Finance,Property-Casualty Insurers
PIHPP,"1347 Property Insurance Holdings, Inc.",n/a,Finance,Property-Casualty Insurers
TURN,180 Degree Capital Corp.,n/a,Finance,Finance/Investors Services
FLWS,"1-800-FLOWERS.COM, Inc.",1999,Consumer Services,Other Specialty Stores
BCOW,"1895 Bancorp of Wisconsin, Inc.",2019,Finance,Banks
ONEM,"1Life Healthcare, Inc.",2020,Health Care,Medical/Nursing Services
FCCY,1st Constitution Bancorp (NJ),n/a,Finance,Savings Institutions
SRCE,1st Source Corporation,n/a,Finance,Major Banks
VNET,"21Vianet Group, Inc.",2011,Technology,"Computer Software: Programming, Data Processing"
TWOU,"2U, Inc.",2014,Technology,Computer Software: Prepackaged Software
QFIN,"360 DigiTech, Inc.",2018,Finance,Finance: Consumer Services
KRKR,36Kr Holdings Inc.,2019,Miscellaneous,Business Services
FVAM,5:01 Acquisition Corp.,n/a,n/a,n/a
JOBS,"51job, Inc.",2004,Technology,Diversified Commercial Services
ETNB,"89bio, Inc.",2019,Health Care,Major Pharmaceuticals
EGHT,8x8 Inc,n/a,Technology,EDP Services
NMTR,"9 Meters Biopharma, Inc.",2018,Health Care,Major Pharmaceuticals
JFU,9F Inc.,2019,Finance,Finance: Consumer Services
AAON,"AAON, Inc.",n/a,Capital Goods,Industrial Machinery/Components
ABEO,Abeona Therapeutics Inc.,n/a,Health Care,Major Pharmaceuticals
ABMD,"ABIOMED, Inc.",n/a,Health Care,Medical/Dental Instruments
AXAS,Abraxas Petroleum Corporation,n/a,Energy,Oil & Gas Production
ACIU,AC Immune SA,2016,Health Care,Major Pharmaceuticals
ACIA,"Acacia Communications, Inc.",2016,Technology,Semiconductors
ACTG,Acacia Research Corporation,n/a,Miscellaneous,Multi-Sector Companies
ASO,"Academy Sports and Outdoors, Inc.",2020,Consumer Services,Other Specialty Stores
ACHC,"Acadia Healthcare Company, Inc.",n/a,Health Care,Medical Specialities
ACAD,ACADIA Pharmaceuticals Inc.,1985,Health Care,Major Pharmaceuticals
ACAM,Acamar Partners Acquisition Corp.,2019,Finance,Business Services
ACAMU,Acamar Partners Acquisition Corp.,2019,Finance,Business Services
ACAMW,Acamar Partners Acquisition Corp.,2019,Finance,Business Services
ACST,"Acasti Pharma, Inc.",n/a,Health Care,Major Pharmaceuticals
AXDX,"Accelerate Diagnostics, Inc.",n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments
ACCP,"Accelerated Pharma, Inc.",n/a,n/a,n/a
XLRN,Acceleron Pharma Inc.,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACCD,"Accolade, Inc.",2020,n/a,n/a
ARAY,Accuray Incorporated,2007,Health Care,Medical/Dental Instruments
ACEV,ACE Convergence Acquisition Corp.,2020,Finance,Business Services
ACEVU,ACE Convergence Acquisition Corp.,2020,Finance,Business Services
ACEVW,ACE Convergence Acquisition Corp.,2020,Finance,Business Services
ACLL,"ACell, Inc.",n/a,n/a,n/a
ACRX,"AcelRx Pharmaceuticals, Inc.",2011,Health Care,Major Pharmaceuticals
ACER,Acer Therapeutics Inc.,n/a,Health Care,Major Pharmaceuticals
ACHV,"Achieve Life Sciences, Inc. ",n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ACIW,"ACI Worldwide, Inc.",n/a,Technology,Computer Software: Prepackaged Software
ACRS,"Aclaris Therapeutics, Inc.",2015,Health Care,Major Pharmaceuticals
ACMR,"ACM Research, Inc.",2017,Technology,Industrial Machinery/Components
ACNB,ACNB Corporation,n/a,Finance,Major Banks
STWOU,ACON S2 Acquisition Corp.,2020,Finance,Business Services
ACOR,"Acorda Therapeutics, Inc.",2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ATVI,"Activision Blizzard, Inc",n/a,Technology,Computer Software: Prepackaged Software
AFIB,"Acutus Medical, Inc.",2020,Health Care,Medical/Dental Instruments
ADMS,"Adamas Pharmaceuticals, Inc.",2014,Health Care,Major Pharmaceuticals
ADMP,Adamis Pharmaceuticals Corporation,n/a,Health Care,Major Pharmaceuticals
AHCO,AdaptHealth Corp. ,2018,Health Care,Medical/Nursing Services
ADAP,Adaptimmune Therapeutics plc,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADPT,Adaptive Biotechnologies Corporation,2019,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADXN,Addex Therapeutics Ltd,n/a,Health Care,Major Pharmaceuticals
ADUS,Addus HomeCare Corporation,2009,Health Care,Medical/Nursing Services
AEY,"ADDvantage Technologies Group, Inc.",n/a,Consumer Services,Office Equipment/Supplies/Services
ADIL,"Adial Pharmaceuticals, Inc",2018,Health Care,Major Pharmaceuticals
ADILW,"Adial Pharmaceuticals, Inc",2018,Health Care,Major Pharmaceuticals
ACET,"Adicet Bio, Inc.",2018,Health Care,Major Pharmaceuticals
ADTX,"ADiTx Therapeutics, Inc.",2020,Health Care,Major Pharmaceuticals
ADMA,ADMA Biologics Inc,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADBE,Adobe Inc.,1986,Technology,Computer Software: Prepackaged Software
ADTN,"ADTRAN, Inc.",1994,Public Utilities,Telecommunications Equipment
ADES,"Advanced Emissions Solutions, Inc.",n/a,Basic Industries,Major Chemicals
AEIS,"Advanced Energy Industries, Inc.",1995,Capital Goods,Industrial Machinery/Components
AMD,"Advanced Micro Devices, Inc.",n/a,Technology,Semiconductors
ADXS,"Advaxis, Inc.",n/a,Health Care,Major Pharmaceuticals
ADVM,"Adverum Biotechnologies, Inc.",2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DWEQ,AdvisorShares Dorsey Wright Alpha Equal Weight ETF,n/a,n/a,n/a
DWAW,AdvisorShares Dorsey Wright FSM All Cap World ETF,n/a,n/a,n/a
DWUS,AdvisorShares Dorsey Wright FSM US Core ETF,n/a,n/a,n/a
DWMC,AdvisorShares Dorsey Wright Micro-Cap ETF,n/a,n/a,n/a
DWSH,AdvisorShares Dorsey Wright Short ETF,n/a,n/a,n/a
ACT,AdvisorShares Vice ETF,n/a,n/a,n/a
AEGN,Aegion Corp,n/a,Basic Industries,Water Supply
